model,backend,run,words,num_predict,seconds
llama3.2:3b,CPU,4,80,128,3.2361965920008515
llama3.2:3b,GPU,5,80,128,0.8046933519999584
llama3.2:3b,CPU,5,80,128,3.6780692849988554
llama3.2:3b,GPU,1,82,128,0.8390292010008125
llama3.2:3b,CPU,1,82,128,4.215431988999626
llama3.2:3b,GPU,2,82,128,0.7263481259997207
llama3.2:3b,CPU,2,82,128,3.413208581998333
llama3.2:3b,GPU,3,82,128,0.8285198270004912
llama3.2:3b,CPU,3,82,128,4.007223423001051
llama3.2:3b,GPU,4,82,128,0.811025482000332
llama3.2:3b,CPU,4,82,128,3.9672219250005583
llama3.2:3b,GPU,5,82,128,0.7703939490002085
llama3.2:3b,CPU,5,82,128,2.79160324500117
llama3.2:3b,GPU,1,84,128,0.8395990540011553
llama3.2:3b,CPU,1,84,128,3.6699073370000406
llama3.2:3b,GPU,2,84,128,0.7746383720004815
llama3.2:3b,CPU,2,84,128,3.183129155999268
llama3.2:3b,GPU,3,84,128,0.8196328969988826
llama3.2:3b,CPU,3,84,128,2.77032724899982
llama3.2:3b,GPU,4,84,128,0.8283878319998621
llama3.2:3b,CPU,4,84,128,2.8040942050010926
llama3.2:3b,GPU,5,84,128,0.7931602080006996
llama3.2:3b,CPU,5,84,128,3.5020762190015375
llama3.2:3b,GPU,1,86,128,0.8239232100004301
llama3.2:3b,CPU,1,86,128,3.9909993629989913
llama3.2:3b,GPU,2,86,128,1.340540212999258
llama3.2:3b,CPU,2,86,128,3.18873861999964
llama3.2:3b,GPU,3,86,128,0.8221410719997948
llama3.2:3b,CPU,3,86,128,3.2733537460007938
llama3.2:3b,GPU,4,86,128,0.7517813819995354
llama3.2:3b,CPU,4,86,128,2.839540596000006
llama3.2:3b,GPU,5,86,128,0.82693234099861
llama3.2:3b,CPU,5,86,128,1.9809983229988575
llama3.2:3b,GPU,1,88,128,0.8356585849996918
llama3.2:3b,CPU,1,88,128,3.909296178999284
llama3.2:3b,GPU,2,88,128,0.8252200970000558
llama3.2:3b,CPU,2,88,128,2.7704990210004325
llama3.2:3b,GPU,3,88,128,0.8763598639998236
llama3.2:3b,CPU,3,88,128,3.1069193059993268
llama3.2:3b,GPU,4,88,128,0.833070692999172
llama3.2:3b,CPU,4,88,128,2.8045643019995623
llama3.2:3b,GPU,5,88,128,0.8093201150004461
llama3.2:3b,CPU,5,88,128,3.838066586999048
llama3.2:3b,GPU,1,90,128,0.8243466059993807
llama3.2:3b,CPU,1,90,128,3.022702082000251
llama3.2:3b,GPU,2,90,128,1.6430864150006528
llama3.2:3b,CPU,2,90,128,2.753716527000506
llama3.2:3b,GPU,3,90,128,0.7714592559987068
llama3.2:3b,CPU,3,90,128,2.1229737009998644
llama3.2:3b,GPU,4,90,128,0.6679345789998479
llama3.2:3b,CPU,4,90,128,5.146744898000179
llama3.2:3b,GPU,5,90,128,0.7815529319996131
llama3.2:3b,CPU,5,90,128,3.2506908150007803
llama3.2:3b,GPU,1,92,128,0.7452475270001742
llama3.2:3b,CPU,1,92,128,3.697371969999949
llama3.2:3b,GPU,2,92,128,0.827676420998614
llama3.2:3b,CPU,2,92,128,3.27917192699897
llama3.2:3b,GPU,3,92,128,0.850904229999287
llama3.2:3b,CPU,3,92,128,3.5159327580004174
llama3.2:3b,GPU,4,92,128,0.883657647000291
llama3.2:3b,CPU,4,92,128,3.4564765459999762
