model,run,words,model_size,CPU,GPU,speedup
llama3.2:3b,2,56,3b,3.6205516579993855,0.6765877319994615,5.351193181259554
llama3.2:3b,2,58,3b,3.6099263229989447,0.8097658660008165,4.457987764818065
llama3.2:3b,2,60,3b,3.387757897000484,0.803640281999833,4.215515290709616
llama3.2:3b,2,62,3b,3.424062131000028,0.8508850979997078,4.024118108366735
llama3.2:3b,2,64,3b,3.365493343000708,0.6385322570004064,5.2706708331550525
llama3.2:3b,2,66,3b,3.593971480999244,0.8431983459995536,4.262308504339911
llama3.2:3b,2,68,3b,3.494076132999908,0.7592205890014156,4.602188327895035
llama3.2:3b,2,70,3b,3.9929387400006817,0.7472270380003465,5.343675398425331
llama3.2:3b,2,72,3b,3.5068054549992667,0.7660718189999898,4.577645813387261
llama3.2:3b,2,74,3b,3.1720455619997665,0.8831559649988776,3.591716172130251
llama3.2:3b,2,76,3b,3.727051948000735,1.016209887999139,3.667600553798088
llama3.2:3b,2,78,3b,3.156349726001281,0.8060480970016215,3.9158329853298213
llama3.2:3b,2,80,3b,3.1616910379998444,0.7238374119988293,4.367957479938821
llama3.2:3b,2,82,3b,3.413208581998333,0.7263481259997207,4.699135937468704
llama3.2:3b,2,84,3b,3.183129155999268,0.7746383720004815,4.109180839801323
llama3.2:3b,2,86,3b,3.18873861999964,1.340540212999258,2.378696729183017
llama3.2:3b,2,88,3b,2.7704990210004325,0.8252200970000558,3.3572849607905817
llama3.2:3b,2,90,3b,2.753716527000506,1.6430864150006528,1.6759413880245684
llama3.2:3b,2,92,3b,3.27917192699897,0.827676420998614,3.9619008634347224
llama3.2:3b,2,94,3b,3.731066369000473,0.8676849120001862,4.300024487460112
llama3.2:3b,2,96,3b,5.8225157799988665,0.8746296469998924,6.657121445598085
llama3.2:3b,2,98,3b,3.5170116249992134,0.8461407590002636,4.156532571666504
llama3.2:3b,3,10,3b,1.6327847109987488,0.6373929700002918,2.5616609969796205
llama3.2:3b,3,12,3b,3.573726754000745,0.7555316269990726,4.7300822709373245
llama3.2:3b,3,14,3b,1.0356981420009106,0.3814947780010698,2.7148422513872688
llama3.2:3b,3,16,3b,2.1879148539992457,0.5152906120001717,4.245982370038825
llama3.2:3b,3,18,3b,5.70419472300091,0.7647134059989185,7.459258172085684
llama3.2:3b,3,20,3b,3.0564143039991905,0.7071393320002244,4.322223592560992
llama3.2:3b,3,22,3b,3.272475320998637,1.447877693999544,2.2601876764596858
llama3.2:3b,3,24,3b,3.2390352160000475,0.548741605000032,5.902660170992244
llama3.2:3b,3,26,3b,2.2427620589987782,0.6574700279998069,3.4112004555125317
llama3.2:3b,3,28,3b,2.9582424740001443,0.6946167090009112,4.258812717383485
llama3.2:3b,3,30,3b,2.4532302740008163,0.6528714020005282,3.757601062756968
llama3.2:3b,3,32,3b,6.621375826000076,0.9615731829999276,6.8859822040196965
llama3.2:3b,3,34,3b,3.779121679999662,0.7925077920008334,4.768560912768524
llama3.2:3b,3,36,3b,3.5586860760013224,0.7659768789999362,4.6459445102932655
llama3.2:3b,3,38,3b,3.590966846999436,0.6566779439999664,5.4683835201256885
llama3.2:3b,3,40,3b,3.521147915998881,0.9127406670013444,3.857774769220067
llama3.2:3b,3,42,3b,3.300573043999975,0.7325656760003767,4.505497803309963
llama3.2:3b,3,44,3b,3.7753632879994257,0.7281867069996224,5.184608908277398
llama3.2:3b,3,46,3b,3.0355101749992173,0.6718205110009876,4.518335069104127
llama3.2:3b,3,48,3b,3.1035458490005112,0.8510232080006972,3.646840438454845
llama3.2:3b,3,50,3b,2.63877459700052,1.0748289359999037,2.4550647164571275
