backend,model_size,words,mean_sec,median_sec,min_sec,max_sec,std_sec,count,machine,test_name
CPU,8b,88,10.544212430017069,8.355127445887774,7.53550523892045,14.764999392908068,3.2335478324542595,10,Machine_B,Test9
CPU,8b,90,9.257334356661886,8.624781260965392,3.6086236690171054,14.80630838125944,3.789536758146181,10,Machine_B,Test9
CPU,8b,92,9.85800717654638,9.437911119544879,3.1873401631601155,14.506159697193652,3.6952457203927125,10,Machine_B,Test9
CPU,8b,94,10.396562965260818,11.547421890078112,2.960572901647538,14.812318788841369,4.78899670914701,10,Machine_B,Test9
CPU,8b,96,10.840781301725656,8.775824044132605,8.611503718420863,14.51002449495718,2.8381165767693752,10,Machine_B,Test9
CPU,8b,98,9.36038384931162,11.242034135153517,2.080809623934329,14.88220748025924,5.760283425852457,10,Machine_B,Test9
GPU,3b,10,3.548828055430204,3.5550753008574247,2.270058538299054,4.652069718111306,0.8692374872116334,5,Machine_B,Test9
GPU,3b,12,4.737139579746872,5.648681674152613,2.2750301398336887,6.558603839948773,2.0110858085540597,5,Machine_B,Test9
GPU,3b,14,2.721255173999816,2.687246227171272,2.478724599815905,2.885457595344633,0.16926017780656022,5,Machine_B,Test9
GPU,3b,16,4.167723710183054,4.449258144944906,2.690110146999359,5.267307973932475,0.9479931647424215,5,Machine_B,Test9
GPU,3b,18,5.913336354214698,6.4263351038098335,3.384947568178177,7.545705859083682,1.551569576883587,5,Machine_B,Test9
GPU,3b,20,6.015977703500539,5.956690557766706,4.654375922866166,7.444179526064545,1.004887130047834,5,Machine_B,Test9
GPU,3b,22,6.950919654965401,7.065279047004879,4.383961916901171,9.121272782795131,1.6848741754528165,5,Machine_B,Test9
GPU,3b,24,5.690156998299062,5.3832688219845295,4.2990247081033885,7.262909770943224,1.442205130342001,5,Machine_B,Test9
GPU,3b,26,6.119508428312838,6.05584971094504,5.359180568251759,7.048702031373978,0.6175882244204016,5,Machine_B,Test9
GPU,3b,28,6.034209621511399,5.890878899022937,5.170007818844169,6.875316499732435,0.7186135500811321,5,Machine_B,Test9
GPU,3b,30,8.566738489177078,6.764601178932935,5.580135584808886,13.072980904020367,3.372144994327555,5,Machine_B,Test9
GPU,3b,32,6.48534922124818,6.077207254245877,5.167254486121237,8.929227228276432,1.4764389155690005,5,Machine_B,Test9
GPU,3b,34,5.894518498703837,6.055377894081175,4.198354074265808,6.687308048829436,1.0152497154694657,5,Machine_B,Test9
GPU,3b,36,6.598393271118402,6.256731324829161,5.182429461739957,8.68075835891068,1.287350099492217,5,Machine_B,Test9
GPU,3b,38,6.29702175417915,6.485555890016258,5.363841351121664,6.6953377104364336,0.5304868436767886,5,Machine_B,Test9
GPU,3b,40,6.556749452091753,6.485324697103351,6.175520601682365,6.872125121764839,0.27663936652628024,5,Machine_B,Test9
GPU,3b,42,6.11072590155527,6.290170955006033,4.783394064288586,6.701852144207805,0.7873013846628566,5,Machine_B,Test9
GPU,3b,44,5.821615427453071,5.891014673747122,4.853912878781557,6.702610876876861,0.8908939777861015,5,Machine_B,Test9
GPU,3b,46,6.161044112406671,6.164720369968563,5.185492204967886,7.168180929031223,0.7995695280457406,5,Machine_B,Test9
GPU,3b,48,6.214434118848294,6.372354901395738,5.592908082064241,6.502675266005099,0.38245310936145427,5,Machine_B,Test9
GPU,3b,50,7.3338149456307296,6.897888315841556,4.013476938940585,12.880973314866424,3.322375582503702,5,Machine_B,Test9
GPU,3b,52,7.394146226719021,6.695538973901421,4.410278033930808,12.891977468971165,3.2721363417909894,5,Machine_B,Test9
GPU,3b,54,6.872918759007007,6.192668658681214,4.30679876729846,12.553533738013355,3.3338063696140545,5,Machine_B,Test9
GPU,3b,56,6.714024526812136,6.300021733157337,6.096079693175852,7.976710689254105,0.7922153576696442,5,Machine_B,Test9
GPU,3b,58,6.3716369436122475,6.317437869030982,6.210478582885116,6.72793837916106,0.2132930853397858,5,Machine_B,Test9
GPU,3b,60,6.219668653141707,6.219931880943477,4.910802713129669,7.267489812336862,0.8626119547237066,5,Machine_B,Test9
GPU,3b,62,5.653620695509017,5.661250972189009,4.94344228412956,6.277337697800249,0.6229422104372262,5,Machine_B,Test9
GPU,3b,64,5.327652067225427,5.129866973962635,4.9434208907186985,5.961167696863413,0.4592870189895987,5,Machine_B,Test9
GPU,3b,66,6.509772442188114,6.463413259014487,6.276858227793127,6.776614189147949,0.20285157012015195,5,Machine_B,Test9
GPU,3b,68,6.283543591108173,6.273293917998672,6.177564658690244,6.370260210707784,0.07422069245857976,5,Machine_B,Test9
GPU,3b,70,5.421504871640354,5.376240541227162,4.441727505065501,6.386688292957842,0.8965268569607258,5,Machine_B,Test9
GPU,3b,72,6.0369522257708015,6.456623011268675,4.329446190968156,6.561244437936693,0.9571947374820733,5,Machine_B,Test9
GPU,3b,74,6.09393448093906,6.259792484808713,4.9809415708296,6.873194677755237,0.8074245094370419,5,Machine_B,Test9
GPU,3b,76,6.078870985005051,6.570530909113586,3.670385650824755,7.287836845032871,1.3963866745335713,5,Machine_B,Test9
GPU,3b,78,5.184153307694942,4.663383011706173,4.343029894866049,7.480252693872899,1.31624315423055,5,Machine_B,Test9
GPU,3b,80,5.87333973152563,5.668810199946165,5.47222070582211,6.593121731188148,0.4644553199951163,5,Machine_B,Test9
GPU,3b,82,6.364807481039316,6.2947400151751935,5.865448915865272,7.268465366214514,0.570408024723551,5,Machine_B,Test9
GPU,3b,84,5.88285486381501,6.189703770913184,4.982424376066774,6.800256927032024,0.7770267347325452,5,Machine_B,Test9
